File: native.test
Type: cpu
Time: 2026-09-19 10:12:16 BST
Duration: 5.75s, Total samples = 4.60s (80.00%)
Showing nodes accounting for 3.80s, 82.61% of 4.60s total
Dropped 187 nodes (cum <= 0.02s)
Showing top 30 nodes out of 161
      flat  flat%   sum%        cum   cum%
     0.94s 20.43% 20.43%      0.96s 20.87%  github.com/blater/slopwatch/internal/sourceestimate.matching (inline)
     0.26s  5.65% 26.09%      0.98s 21.30%  github.com/blater/slopwatch/internal/sourceestimate.gradedSurfaceFields
     0.23s  5.00% 31.09%      0.23s  5.00%  runtime.pthread_cond_wait
     0.19s  4.13% 35.22%      0.33s  7.17%  runtime.scanObject
     0.18s  3.91% 39.13%      0.18s  3.91%  runtime.memclrNoHeapPointers
     0.15s  3.26% 42.39%      0.15s  3.26%  runtime.pthread_cond_signal
     0.14s  3.04% 45.43%      0.36s  7.83%  github.com/blater/slopwatch/internal/sourceestimate.gradedUnconditionalExit
     0.14s  3.04% 48.48%      0.14s  3.04%  runtime.madvise
     0.13s  2.83% 51.30%      0.15s  3.26%  runtime.tryDeferToSpanScan
     0.13s  2.83% 54.13%      0.13s  2.83%  syscall.rawsyscalln
     0.11s  2.39% 56.52%      0.16s  3.48%  github.com/blater/slopwatch/internal/sourceestimate.gradedScopeContains
     0.11s  2.39% 58.91%      0.11s  2.39%  internal/runtime/maps.memHashAES
     0.10s  2.17% 61.09%      1.63s 35.43%  github.com/blater/slopwatch/internal/sourceestimate.gradedFindSurfaceOwner
     0.10s  2.17% 63.26%      0.37s  8.04%  github.com/blater/slopwatch/internal/sourceestimate.gradedUnconditionalExits
     0.10s  2.17% 65.43%      0.17s  3.70%  runtime.scanObjectsSmall
     0.07s  1.52% 66.96%      0.39s  8.48%  github.com/blater/slopwatch/internal/sourceestimate.gradedMemberMethodEnd
     0.07s  1.52% 68.48%      0.07s  1.52%  runtime.usleep
     0.06s  1.30% 69.78%      0.09s  1.96%  github.com/blater/slopwatch/internal/sourceestimate.gradedConstraintRejects
     0.06s  1.30% 71.09%      0.37s  8.04%  github.com/blater/slopwatch/internal/sourceestimate.gradedOwnerClause
     0.06s  1.30% 72.39%      0.16s  3.48%  github.com/blater/slopwatch/internal/sourceestimate.gradedUnconditionalGuards
     0.06s  1.30% 73.70%      0.14s  3.04%  github.com/blater/slopwatch/internal/sourceestimate.pruneDeadFalseBranches
     0.06s  1.30% 75.00%      0.06s  1.30%  runtime.memmove
     0.06s  1.30% 76.30%      0.06s  1.30%  runtime.pthread_kill
     0.05s  1.09% 77.39%      0.30s  6.52%  github.com/blater/slopwatch/internal/sourceestimate.gradedEagerBody
     0.05s  1.09% 78.48%      0.05s  1.09%  github.com/blater/slopwatch/internal/sourceestimate.gradedGuardKeyword (inline)
     0.05s  1.09% 79.57%      0.42s  9.13%  github.com/blater/slopwatch/internal/sourceestimate.gradedOwnerRelational
     0.04s  0.87% 80.43%      0.04s  0.87%  github.com/blater/slopwatch/internal/sourceestimate.gradedEagerPipeClosureEnd
     0.04s  0.87% 81.30%      0.32s  6.96%  github.com/blater/slopwatch/internal/sourceestimate.gradedJavaFields
     0.03s  0.65% 81.96%      0.03s  0.65%  github.com/blater/slopwatch/internal/sourceestimate.gradedAliasType (inline)
     0.03s  0.65% 82.61%      0.03s  0.65%  github.com/blater/slopwatch/internal/sourceestimate.gradedConstraintBuiltinReject
